# init_date: 2026-05-01
# valid_start: 2026-07-01
# valid_end: 2026-07-31
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall total (mm): ensemble mean/median/sd/quantiles, anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-20T21:03:03.529270+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
# ensemble_statistic: median
lat,lon,spatial_ref,clim_year,median
3.375,36.125,0,2026,
3.375,36.375,0,2026,
3.375,36.625,0,2026,
3.375,36.875,0,2026,
3.375,37.125,0,2026,
3.375,37.375,0,2026,
3.375,37.625,0,2026,
3.375,37.875,0,2026,
3.375,38.125,0,2026,
3.375,38.375,0,2026,
3.375,38.625,0,2026,
3.375,38.875,0,2026,
3.375,39.125,0,2026,4.727431
3.375,39.375,0,2026,5.3830166
3.375,39.625,0,2026,5.6566925
3.375,39.875,0,2026,
3.375,40.125,0,2026,
3.375,40.375,0,2026,
3.375,40.625,0,2026,
3.375,40.875,0,2026,
3.375,41.125,0,2026,
3.375,41.375,0,2026,
3.375,41.625,0,2026,
3.375,41.875,0,2026,
3.375,42.125,0,2026,
3.375,42.375,0,2026,
3.375,42.625,0,2026,
3.375,42.875,0,2026,
3.375,43.125,0,2026,
3.375,43.375,0,2026,
3.375,43.625,0,2026,
3.375,43.875,0,2026,
3.375,44.125,0,2026,
3.375,44.375,0,2026,
3.375,44.625,0,2026,
3.375,44.875,0,2026,
3.375,45.125,0,2026,
3.375,45.375,0,2026,
3.375,45.625,0,2026,
3.375,45.875,0,2026,
3.375,46.125,0,2026,
3.375,46.375,0,2026,
3.375,46.625,0,2026,
3.375,46.875,0,2026,
3.375,47.125,0,2026,
3.375,47.375,0,2026,
3.375,47.625,0,2026,
3.375,47.875,0,2026,
3.625,33.125,0,2026,
3.625,33.375,0,2026,
3.625,33.625,0,2026,
3.625,33.875,0,2026,
3.625,34.125,0,2026,
3.625,34.375,0,2026,
3.625,34.625,0,2026,
3.625,34.875,0,2026,
3.625,35.125,0,2026,
3.625,35.375,0,2026,
3.625,35.625,0,2026,
3.625,35.875,0,2026,
3.625,36.125,0,2026,
3.625,36.375,0,2026,
3.625,36.625,0,2026,
3.625,36.875,0,2026,
3.625,37.125,0,2026,
3.625,37.375,0,2026,
3.625,37.625,0,2026,
3.625,37.875,0,2026,0.4349157
3.625,38.125,0,2026,0.67728305
3.625,38.375,0,2026,1.5370991
3.625,38.625,0,2026,4.312049
3.625,38.875,0,2026,4.4946547
3.625,39.125,0,2026,4.822413
3.625,39.375,0,2026,4.729656
3.625,39.625,0,2026,4.5501633
3.625,39.875,0,2026,0.757725
3.625,40.125,0,2026,
3.625,40.375,0,2026,
3.625,40.625,0,2026,
3.625,40.875,0,2026,
3.625,41.125,0,2026,
3.625,41.375,0,2026,
3.625,41.625,0,2026,
3.625,41.875,0,2026,
3.625,42.125,0,2026,
3.625,42.375,0,2026,
3.625,42.625,0,2026,
3.625,42.875,0,2026,
3.625,43.125,0,2026,
3.625,43.375,0,2026,
3.625,43.625,0,2026,
3.625,43.875,0,2026,
3.625,44.125,0,2026,
3.625,44.375,0,2026,
3.625,44.625,0,2026,
3.625,44.875,0,2026,
3.625,45.125,0,2026,
3.625,45.375,0,2026,
3.625,45.625,0,2026,
3.625,45.875,0,2026,
3.625,46.125,0,2026,
3.625,46.375,0,2026,
3.625,46.625,0,2026,
3.625,46.875,0,2026,
3.625,47.125,0,2026,
3.625,47.375,0,2026,
3.625,47.625,0,2026,
3.625,47.875,0,2026,
3.875,33.125,0,2026,
3.875,33.375,0,2026,
3.875,33.625,0,2026,
3.875,33.875,0,2026,
3.875,34.125,0,2026,
3.875,34.375,0,2026,
3.875,34.625,0,2026,
3.875,34.875,0,2026,
3.875,35.125,0,2026,
3.875,35.375,0,2026,
3.875,35.625,0,2026,
3.875,35.875,0,2026,
3.875,36.125,0,2026,
3.875,36.375,0,2026,
3.875,36.625,0,2026,
3.875,36.875,0,2026,
3.875,37.125,0,2026,
3.875,37.375,0,2026,
3.875,37.625,0,2026,0.0005722046
3.875,37.875,0,2026,0.039484367
3.875,38.125,0,2026,1.0296036
3.875,38.375,0,2026,3.0714002
3.875,38.625,0,2026,2.245581
3.875,38.875,0,2026,3.8396826
