# init_date: 2026-05-01
# valid_start: 2026-05-09
# valid_end: 2026-05-29
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall percentile rank vs. historical distribution; percentage anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-18T22:27:57.517376+00:00
# software_version: 0.1.0-phase1
# spatial_resolution_deg: 0.25
lat,lon,spatial_ref,percentile
6.375,45.875,0,36.36363636363636
6.375,46.125,0,33.333333333333336
6.375,46.375,0,33.333333333333336
6.375,46.625,0,
6.375,46.875,0,
6.375,47.125,0,
6.375,47.375,0,
6.375,47.625,0,
6.375,47.875,0,
6.625,33.125,0,
6.625,33.375,0,
6.625,33.625,0,
6.625,33.875,0,
6.625,34.125,0,
6.625,34.375,0,
6.625,34.625,0,30.303030303030305
6.625,34.875,0,33.333333333333336
6.625,35.125,0,21.21212121212121
6.625,35.375,0,9.09090909090909
6.625,35.625,0,6.0606060606060606
6.625,35.875,0,6.0606060606060606
6.625,36.125,0,0.0
6.625,36.375,0,0.0
6.625,36.625,0,0.0
6.625,36.875,0,0.0
6.625,37.125,0,0.0
6.625,37.375,0,6.0606060606060606
6.625,37.625,0,9.09090909090909
6.625,37.875,0,12.121212121212121
6.625,38.125,0,12.121212121212121
6.625,38.375,0,12.121212121212121
6.625,38.625,0,12.121212121212121
6.625,38.875,0,6.0606060606060606
6.625,39.125,0,9.09090909090909
6.625,39.375,0,6.0606060606060606
6.625,39.625,0,9.09090909090909
6.625,39.875,0,9.09090909090909
6.625,40.125,0,12.121212121212121
6.625,40.375,0,12.121212121212121
6.625,40.625,0,9.09090909090909
6.625,40.875,0,3.0303030303030303
6.625,41.125,0,6.0606060606060606
6.625,41.375,0,12.121212121212121
6.625,41.625,0,18.18181818181818
6.625,41.875,0,15.151515151515152
6.625,42.125,0,15.151515151515152
6.625,42.375,0,12.121212121212121
6.625,42.625,0,12.121212121212121
6.625,42.875,0,15.151515151515152
6.625,43.125,0,15.151515151515152
6.625,43.375,0,9.09090909090909
6.625,43.625,0,15.151515151515152
6.625,43.875,0,18.18181818181818
6.625,44.125,0,27.272727272727273
6.625,44.375,0,33.333333333333336
6.625,44.625,0,30.303030303030305
6.625,44.875,0,27.272727272727273
6.625,45.125,0,36.36363636363636
6.625,45.375,0,36.36363636363636
6.625,45.625,0,24.242424242424242
6.625,45.875,0,24.242424242424242
6.625,46.125,0,27.272727272727273
6.625,46.375,0,30.303030303030305
6.625,46.625,0,24.242424242424242
6.625,46.875,0,
6.625,47.125,0,
6.625,47.375,0,
6.625,47.625,0,
6.625,47.875,0,
6.875,33.125,0,
6.875,33.375,0,
6.875,33.625,0,
6.875,33.875,0,
6.875,34.125,0,
6.875,34.375,0,36.36363636363636
